Order Date,Sales,year,month,day,dayofweek,quarter,lag_1,lag_7,rolling_mean_7
2014-01-11,9.94,2014.0,1.0,11.0,5.0,1.0,54.83,16.448,701.024
2014-01-13,3553.795,2014.0,1.0,13.0,0.0,1.0,9.94,288.06,1167.5575714285715
2014-01-14,61.96,2014.0,1.0,14.0,1.0,1.0,3553.795,19.536,1173.618142857143
2014-01-15,149.95,2014.0,1.0,15.0,2.0,1.0,61.96,4407.1,565.4538571428571
2014-01-16,299.964,2014.0,1.0,16.0,3.0,1.0,149.95,87.15799999999999,595.8547142857143
2014-01-18,64.864,2014.0,1.0,18.0,5.0,1.0,299.964,40.544,599.3290000000001
2014-01-19,378.594,2014.0,1.0,19.0,6.0,1.0,64.864,54.83,645.5810000000001
2014-01-20,2673.87,2014.0,1.0,20.0,0.0,1.0,378.594,9.94,1026.1424285714286
2014-01-21,25.248,2014.0,1.0,21.0,1.0,1.0,2673.87,3553.795,522.0642857142857
2014-01-23,46.019999999999996,2014.0,1.0,23.0,3.0,1.0,25.248,61.96,519.7871428571428
2014-01-26,1097.25,2014.0,1.0,26.0,6.0,1.0,46.019999999999996,149.95,655.1157142857143
2014-01-27,426.67,2014.0,1.0,27.0,0.0,1.0,1097.25,299.964,673.2165714285713
2014-01-28,3.928,2014.0,1.0,28.0,1.0,1.0,426.67,64.864,664.5114285714286
2014-01-30,240.5,2014.0,1.0,30.0,3.0,1.0,3.928,378.594,644.7837142857143
2014-01-31,290.666,2014.0,1.0,31.0,4.0,1.0,240.5,2673.87,304.326
2014-02-01,468.9,2014.0,2.0,1.0,5.0,1.0,290.666,25.248,367.7048571428572
2014-02-02,211.64600000000002,2014.0,2.0,2.0,6.0,1.0,468.9,46.019999999999996,391.36571428571426
2014-02-03,97.11200000000001,2014.0,2.0,3.0,0.0,1.0,211.64600000000002,1097.25,248.48885714285714
2014-02-04,134.38400000000001,2014.0,2.0,4.0,1.0,1.0,97.11200000000001,426.67,206.73371428571429
2014-02-06,330.512,2014.0,2.0,6.0,3.0,1.0,134.38400000000001,3.928,253.38857142857142
2014-02-07,180.32,2014.0,2.0,7.0,4.0,1.0,330.512,240.5,244.79142857142855
2014-02-08,14.56,2014.0,2.0,8.0,5.0,1.0,180.32,290.666,205.3477142857143
2014-02-11,2043.4,2014.0,2.0,11.0,1.0,1.0,14.56,468.9,430.27628571428573
2014-02-12,129.568,2014.0,2.0,12.0,2.0,1.0,2043.4,211.64600000000002,418.5508571428572
2014-02-14,576.726,2014.0,2.0,14.0,4.0,1.0,129.568,97.11200000000001,487.06714285714287
2014-02-15,21.36,2014.0,2.0,15.0,5.0,1.0,576.726,134.38400000000001,470.9208571428572
2014-02-16,9.04,2014.0,2.0,16.0,6.0,1.0,21.36,330.512,424.99628571428576
2014-02-17,54.208,2014.0,2.0,17.0,0.0,1.0,9.04,180.32,406.98028571428574
2014-02-18,37.784,2014.0,2.0,18.0,1.0,1.0,54.208,14.56,410.29800000000006
2014-02-20,95.59,2014.0,2.0,20.0,3.0,1.0,37.784,2043.4,132.03942857142857
2014-02-21,8.85,2014.0,2.0,21.0,4.0,1.0,95.59,129.568,114.794
2014-02-22,19.44,2014.0,2.0,22.0,5.0,1.0,8.85,576.726,35.181714285714285
2014-02-23,11.364,2014.0,2.0,23.0,6.0,1.0,19.44,21.36,33.75371428571428
2014-02-24,55.672,2014.0,2.0,24.0,0.0,1.0,11.364,9.04,40.41542857142857
2014-02-27,19.456,2014.0,2.0,27.0,3.0,1.0,55.672,54.208,35.45085714285714
2014-03-01,2203.151,2014.0,3.0,1.0,5.0,1.0,19.456,37.784,344.78899999999993
2014-03-02,202.384,2014.0,3.0,2.0,6.0,1.0,2203.151,95.59,360.0452857142856
2014-03-03,1345.8919999999998,2014.0,3.0,3.0,0.0,1.0,202.384,8.85,551.0512857142857
2014-03-04,370.452,2014.0,3.0,4.0,1.0,1.0,1345.8919999999998,19.44,601.195857142857
2014-03-05,705.562,2014.0,3.0,5.0,2.0,1.0,370.452,11.364,700.367
2014-03-07,1561.062,2014.0,3.0,7.0,4.0,1.0,705.562,55.672,915.4227142857142
2014-03-10,741.956,2014.0,3.0,10.0,0.0,1.0,1561.062,19.456,1018.6369999999998
2014-03-11,918.314,2014.0,3.0,11.0,1.0,1.0,741.956,2203.151,835.088857142857
2014-03-14,2108.55,2014.0,3.0,14.0,4.0,1.0,918.314,202.384,1107.3982857142857
2014-03-15,370.78200000000004,2014.0,3.0,15.0,5.0,1.0,2108.55,1345.8919999999998,968.0968571428573
2014-03-16,471.92,2014.0,3.0,16.0,6.0,1.0,370.78200000000004,370.452,982.5922857142858
2014-03-17,3960.358,2014.0,3.0,17.0,0.0,1.0,471.92,705.562,1447.563142857143
